LAT,LON,T [°C]
-25.50888888,-48.80861111,21.6
-25.83555555,-50.36888888,16.5
-26.3986111,-51.35361111,13.7
-26.41722221,-52.3486111,22.4
-31.24833333,-50.90638888,
-29.36888888,-50.82722221,14.5
-28.51361111,-50.88277777,21.1
-31.0025,-54.61805554,15.6
-29.44916666,-51.82333332,17.9
-28.65333333,-53.11194444,23.0
-29.674293,-51.064042,18.1
-29.08944444,-53.82666666,22.0
-31.8025,-52.40722222,16.1
-29.70222222,-54.69444444,18.3
-30.54305555,-52.52472221,14.8
-28.70472222,-51.87083332,19.5
-27.0853111,-52.6357111,26.0
-29.04916666,-50.14972221,21.7
-27.3886111,-51.21583333,24.3
-33.74222221,-53.37222221,12.5
-15.60694444,-56.06083333,34.6
-14.65,-57.43166666,28.3
-13.45388888,-56.67722221,26.4
-12.555,-55.72277777,28.4
-13.78583333,-57.8386111,
-9.9525,-54.89777777,27.4
-16.4625,-54.58027777,28.9
-14.01638888,-52.21166666,26.8
-17.33944444,-53.22444443,26.9
-9.56333333,-57.3936111,
-13.30388888,-58.76333333,25.8
-15.55888888,-55.17944443,
-13.70805555,-59.7625,28.5
-11.28027777,-57.52666666,
-14.42138888,-54.0361111,26.1
-12.60305555,-52.1625,24.7
-11.98222221,-55.56611111,28.6
-10.63944444,-51.57138888,
-9.90638888,-58.57222221,27.8
-11.37499999,-58.77472221,
-11.61888888,-50.72777777,
-15.06277777,-59.87305554,28.4
-15.57999999,-54.3811111,
-10.07722221,-56.17916666,24.8
-8.7936111,-63.84583333,28.2
-9.97055554,-55.82749999,
-12.52194443,-58.23138888,
-13.0386111,-57.09222221,25.2
-13.41111111,-54.75222222,
-13.18472221,-53.2575,
-14.92499999,-53.88444444,26.4
-16.34166666,-53.76611111,
-17.17499999,-54.50166666,27.6
-17.8411111,-53.28944444,25.3
-15.32472221,-57.22583332,
-15.12472221,-58.12722221,27.9
-15.23444444,-59.3461111,
-12.73499999,-60.15777777,29.1
-11.44583333,-61.43416666,31.3
-9.94888888,-62.96194444,
-16.07472221,-57.69305555,
-10.48416666,-52.37249999,
-11.98777777,-51.4261111,
-14.82888888,-56.44194444,25.1
-24.57083332,-52.80027777,25.9
-25.37138888,-52.40083333,26.5
-25.322464,-49.157733,20.6
-30.1861111,-51.17805554,17.0
-19.97999999,-43.95861111,19.9
